X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
25.0,58.0,9.0,2.0,24084.0,5664.972043427464,3062.6709995965903,1.0,-0.298167676084195,111,258,9,50.0,116.0,18.0,93.0,58.0,9.0,413,258,9,186.0,116.0,18.0,4.0,302,0,0,68,0,0,350
39.0,45.0,9.0,2.0,22950.0,4530.972043427464,3054.007381103344,2.0,-0.19472230307539462,173,200,9,78.0,90.0,18.0,107.0,45.0,9.0,475,200,9,214.0,90.0,18.0,4.0,302,0,0,68,0,0,351
46.0,51.0,13.0,2.0,27561.0,9141.972043427464,2983.2026616353287,1.0,-0.5079324242000883,204,227,13,92.0,102.0,26.0,114.0,51.0,13.0,506,227,13,228.0,102.0,26.0,4.0,302,0,0,68,0,0,352
28.0,47.0,20.0,2.0,24804.0,6384.972043427464,2878.4462156398854,2.0,-0.3785347621927005,124,209,20,56.0,94.0,40.0,96.0,47.0,20.0,426,209,20,192.0,94.0,40.0,4.0,302,0,0,68,0,0,353
45.0,17.0,41.0,2.0,24691.0,6271.972043427464,2834.587215063999,1.0,-0.3774625224294517,200,76,41,90.0,34.0,82.0,113.0,17.0,41.0,502,76,41,226.0,34.0,82.0,4.0,302,0,0,68,0,0,354
42.0,24.0,41.0,2.0,23838.0,5418.972043427464,2768.9792918978565,3.0,-0.3236453958997937,187,107,41,84.0,48.0,82.0,110.0,24.0,41.0,489,107,41,220.0,48.0,82.0,4.0,302,0,0,68,0,0,355
46.0,31.0,44.0,2.0,24608.0,6188.972043427464,2713.422419322146,2.0,-0.39040615855072475,204,138,44,92.0,62.0,88.0,114.0,31.0,44.0,506,138,44,228.0,62.0,88.0,4.0,302,0,0,68,0,0,356
47.0,36.0,10.0,2.0,23454.0,5034.972043427464,2712.1009104119894,2.0,-0.2998385515221279,209,160,10,94.0,72.0,20.0,115.0,36.0,10.0,511,160,10,230.0,72.0,20.0,4.0,302,0,0,68,0,0,357
39.0,51.0,12.0,2.0,26160.0,7740.972043427464,2621.263133251521,1.0,-0.4940737999942566,173,227,12,78.0,102.0,24.0,107.0,51.0,12.0,475,227,12,214.0,102.0,24.0,4.0,302,0,0,68,0,0,358
36.0,5.0,61.0,2.0,23263.0,4843.972043427464,2512.818570938707,4.0,-0.3168709828354411,160,22,61,72.0,10.0,122.0,104.0,5.0,61.0,462,22,61,208.0,10.0,122.0,4.0,302,0,0,68,0,0,359
44.0,48.0,13.0,2.0,24211.0,5791.972043427464,2434.0982761042824,1.0,-0.40819901081447624,196,213,13,88.0,96.0,26.0,112.0,48.0,13.0,498,213,13,224.0,96.0,26.0,4.0,302,0,0,68,0,0,360
5.0,46.0,40.0,2.0,25770.0,7350.972043427464,2370.48016129538,1.0,-0.5123197416649827,22,204,40,10.0,92.0,80.0,73.0,46.0,40.0,324,204,40,146.0,92.0,80.0,4.0,302,0,0,68,0,0,361
40.0,20.0,38.0,2.0,23180.0,4760.972043427464,2297.5358352535227,1.0,-0.34900240256362514,178,89,38,80.0,40.0,76.0,108.0,20.0,38.0,480,89,38,216.0,40.0,76.0,4.0,302,0,0,68,0,0,362
22.0,21.0,7.0,2.0,23136.0,4716.972043427464,1991.212581600149,1.0,-0.40633339930117013,98,93,7,44.0,42.0,14.0,90.0,21.0,7.0,400,93,7,180.0,42.0,14.0,4.0,302,0,0,68,0,0,363
9.0,36.0,14.0,2.0,23077.0,4657.972043427464,1866.8226127215632,1.0,-0.4277758271021596,40,160,14,18.0,72.0,28.0,77.0,36.0,14.0,342,160,14,154.0,72.0,28.0,4.0,302,0,0,68,0,0,364
33.0,40.0,6.0,2.0,21998.0,3578.972043427464,1677.5966831916778,2.0,-0.3617141635773286,147,178,6,66.0,80.0,12.0,101.0,40.0,6.0,449,178,6,202.0,80.0,12.0,4.0,302,0,0,68,0,0,365
37.0,46.0,5.0,2.0,21226.0,2806.972043427464,1677.3236837789602,1.0,-0.25191210133508285,164,204,5,74.0,92.0,10.0,105.0,46.0,5.0,466,204,5,210.0,92.0,10.0,4.0,302,0,0,68,0,0,366
15.0,34.0,14.0,2.0,22918.0,4498.972043427464,1604.3105582589662,1.0,-0.47427944502662533,67,151,14,30.0,68.0,28.0,83.0,34.0,14.0,369,151,14,166.0,68.0,28.0,4.0,302,0,0,68,0,0,367
2.0,37.0,52.0,2.0,22915.0,4495.972043427464,1563.7004504124488,1.0,-0.4838993519857513,9,164,52,4.0,74.0,104.0,70.0,37.0,52.0,311,164,52,140.0,74.0,104.0,4.0,302,0,0,68,0,0,368
10.0,33.0,14.0,2.0,21241.0,2821.972043427464,1526.094913833767,1.0,-0.2980352286041949,44,147,14,20.0,66.0,28.0,78.0,33.0,14.0,346,147,14,156.0,66.0,28.0,4.0,302,0,0,68,0,0,369
30.0,33.0,26.0,2.0,21179.0,2759.972043427464,1498.1017098602244,2.0,-0.296347693036773,133,147,26,60.0,66.0,52.0,98.0,33.0,26.0,435,147,26,196.0,66.0,52.0,4.0,302,0,0,68,0,0,370
39.0,40.0,35.0,2.0,21854.0,3434.972043427464,1497.6642486371586,1.0,-0.3927530188890977,173,178,35,78.0,80.0,70.0,107.0,40.0,35.0,475,178,35,214.0,80.0,70.0,4.0,302,0,0,68,0,0,371
