,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
136,50.0,2.0,7.0,2.0,28601.0,7427.162813101706,5374.329353094075,50.0,2.0,7.0,0,0,0
137,12.0,15.0,33.0,2.0,34268.0,13094.162813101706,5372.362480265537,12.0,15.0,33.0,0,0,0
138,11.0,11.0,32.0,2.0,33938.0,12764.162813101706,5353.8531841204,11.0,11.0,32.0,0,0,0
139,6.0,54.0,7.0,2.0,30837.0,9663.162813101706,5327.270812130206,6.0,54.0,7.0,0,0,0
140,14.0,59.0,47.0,2.0,31664.0,10490.162813101706,5209.68897757872,14.0,59.0,47.0,0,0,0
141,19.0,41.0,42.0,2.0,30948.0,9774.162813101706,5139.946970031429,19.0,41.0,42.0,0,0,0
142,47.0,2.0,4.0,2.0,27049.0,5875.162813101706,5119.0660899526665,47.0,2.0,4.0,0,0,0
143,24.0,24.0,28.0,2.0,32016.0,10842.162813101706,5010.063304963516,24.0,24.0,28.0,0,0,0
144,13.0,2.0,10.0,2.0,32436.0,11262.162813101706,4979.8985306717905,13.0,2.0,10.0,0,0,0
145,42.0,45.0,41.0,2.0,29445.0,8271.162813101706,4978.121111928715,42.0,45.0,41.0,0,0,0
146,51.0,26.0,20.0,2.0,32388.0,11214.162813101706,4977.500980606413,51.0,26.0,20.0,0,0,0
147,59.0,49.0,21.0,2.0,31256.0,10082.162813101706,4905.838128636103,59.0,49.0,21.0,0,0,0
148,22.0,35.0,18.0,2.0,31330.0,10156.162813101706,4905.398155866973,22.0,35.0,18.0,0,0,0
149,5.0,44.0,60.0,2.0,32109.0,10935.162813101706,4820.006814432629,5.0,44.0,60.0,0,0,0
150,18.0,49.0,6.0,2.0,29498.0,8324.162813101706,4815.167316892454,18.0,49.0,6.0,0,0,0
151,20.0,25.0,33.0,2.0,32155.0,10981.162813101706,4814.824820899069,20.0,25.0,33.0,0,0,0
152,17.0,50.0,47.0,2.0,32453.0,11279.162813101706,4810.624775338467,17.0,50.0,47.0,0,0,0
